book,[ buk ],书
ruler,[ ru:lə ],尺子
pencil,[ pensl ],铅笔
eraser,[ i'reizə ],橡皮
pencil case,[ pensl ] [ keis ],铅笔盒
backpack,[ bækpæk ],书包
school,[ sku:l ],学校
Unit 2 Body,[ bɔdi ] ,身体
eye,[ ai ],眼睛
hand,[ hænd ],手
ear,[ iə ],耳朵
mouth,[ mauθ ],嘴
nose,[ nəuz ],鼻子
foot,[ fut ],脚
face,[ feis ],脸
leg,[ leg ],腿
arm,[ ɑ:m ],手臂
cat,[ kæt ],猫
bird,[ bə:d ],鸟
rabbit,[ ræbit ],兔
dog,[ dɔg ],狗
chicken,[ tʃikin ],鸡
duck,[ dʌk ],鸭
monkey,[ mʌŋki ],猴子
tiger,[ taigə ],虎
panda,[ pændə ],熊猫
elephant,[ elifənt ],大象
fish,[ fiʃ ],鱼
Unit 5 Numbers,[ nʌmbəz ] ,数字
one,[ wʌn ],一
two,[ tu: ],二
three,[ θri: ],三
four,[ fɔ: ],四
five,[ faiv ],五
six,[ siks ],六
seven,[ sevən ],七
eight,[ eit ],八
nine,[ nain ],九
ten,[ ten ],十
Unit 6 Colours,[ kʌləz ] ,颜色
red,[ red ],红色（的）
yellow,[ jeləu ],黄色（的）
purple,[ pə:pl ],紫色（的）
brown,[ braun ],棕色（的）
orange,[ ɔrindʒ ],橙色（的）
white,[ (h)wait ],白色（的）
green,[ gri:n ],绿色（的）
pink,[ piŋk ],粉红色（的）
blue,[ blu: ],蓝色（的）
black,[ blæk ],黑色（的）
Unit 7 Fruit,[ fru:t ] ,水果
apple,[ æpəl ],苹果
banana,[ bə'nɑ:nə ],香蕉
peach,[ pi:tʃ ],桃
melon,[ melən ],瓜
pear,[ pɛə ],梨
orange,[ ɔrindʒ ],橙子
grape(s),[ greips ],葡萄
strawberry,[ strɔ:bəri ],草莓
pineapple,[ painæpl ],菠萝
Unit 9 Classroom,[ klɑ:srum ] ,教室
classroom,[ klɑ:srum ],教室
door,"[ dɔ:, dɔə ]",门
window,[ windəu ],窗户
blackboard,[ blækbɔ:d ],黑板
wall,[ wɔ:l ],墙
desk,[ desk ],书桌
chair,[ tʃɛə ],椅子
boy,[ bɔi ],男孩
girl,[ gə:l ],女孩
in,[ in ],在里面
on,[ ɔn ],在上面
under,[ ʌndə ],在下面
where,[ (h)wɛə ],在哪里
Unit 10 My Room,[ mai ][ ru:m ] ,我的房间
room,[ ru:m ],房间
closet,[ klɔzit ],柜橱
telephone,[ telifəun ],电话
computer,[ kəm'pju:tə ],计算机
TV,[ ti:'vi: ],电视
bed,[ bed ],床
picture,[ piktʃə ],画
table,[ teibl ],桌子
lamp,[ læmp ],台灯
armchair,[ ɑ:mtʃeə ],手扶椅
behind,[ bi'haind ],在后面
next to,[ nekst ] [ tu: ],在旁边
Unit 11 Toys,[ tɔiz ] ,玩具
toys,[ tɔiz ],玩具（复数）
plane,[ plein ],飞机
boat,[ bəut ],船
train,[ trein ],火车
ball,[ bɔ:l ],球
teddy bear,[ tedi ] [ beə(r) ],玩具熊
bus,[ bʌs ],公共汽车
car,[ kɑ: ],小汽车
doll,[ dɔl ],玩具娃娃
pinwheel,[ pin.wi:l ],纸风车
box,[ bɔks ],盒子
Unit 13 Shapes,[ ʃeips ] ,形状
shapes,[ ʃeips ],形状（复数）
circle,[ sə:kl ],圆形
triangle,[ traiæŋgl ],三角形
rectangle,[ rektæŋgl ],长方形
square,[ skwɛə ],正方形
eleven,[ i'levən ],十一
twelve,[ twelv ],十二
thirteen,[ θə:'ti:n ],十三
fourteen,[ fɔ:'ti:n ],十四
fifteen,[ fif'ti:n ],十五
sixteen,[ siks'ti:n ],十六
seventeen,[ sevən'ti:n ],十七
eighteen,[ ei'ti:n ],十八
nineteen,[ nain'ti:n ],十九
twenty,[ twenti ],二十
Unit 14 Clothes,[ kləuðz ] ,衣服
clothes,[ kləuðz ],衣服
T-shirt,[ ti:.ʃə:t ],T恤衫
pants,[ pænts ],长裤
shorts,[ ʃɔ:ts ],短裤
jacket,[ dʒækit ],夹克
sweater,[ swetə ],毛衣
skirt,[ skə:t ],短裙
dress,[ dres ],连衣裙
shoe,[ ʃu: ],鞋
sock,[ sɔk ],袜子
Unit 15 Food and Drink,[ fu:d ] [ ænd ] [ driŋk ] ,食品和饮料
food,[ fu:d ],食品
drink,[ driŋk ],饮料
