abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
abandon,[əˈbændən],"vt.放弃,遗弃"
abandonment,[əˈbændənmənt],n.放弃
abbreviate,[əˈbriːvieɪt],"v.缩写, 简化"
abigail,"['æbɪ,gel]",n.(贵妇人的贴身)使女
ability,[əˈbɪləti],"n.能力,才干"
able,[ˈeɪbl],"a.能够…的,得以…的,能干的"
abnormal,[æbˈnɔːrml],"a.反常的, 变态的"
abnormality,[ˌæbnɔːrˈmæləti],"n.变态 畸形,反常"
aboard,[əˈbɔːrd],"prep./ad.在(船、飞机、车)上,上船"
abolish,[əˈbɑːlɪʃ],"vt.废止, 废除"
aboriginal,[ˌæbəˈrɪdʒənl],"a.土著的,原来的 ,原始的"
aborigine,[ˌæbəˈrɪdʒəni],n.土著居民
abound,[əˈbaʊnd],"v.富于,  充满"
about,[əˈbaʊt],"prep.关于.ad.大约,在附近"
above,[əˈbʌv],"prep.在…上方,多(大,高)于,超过.ad.在上面"
aboveground,"[ə'bʌv,graʊnd]",a.在地面上的.ad.地面上地
abrasion,[əˈbreɪʒn],"n.磨损,擦伤"
abreast,[əˈbrest],"ad.并肩地, 并排地"
abroad,[əˈbrɔːd],"ad.到国外,在国外"
abrupt,[əˈbrʌpt],"a.突然的,陡峭的,生硬的,鲁莽的"
abruptly,[əˈbrʌptli],"ad.突然地,粗鲁地"
abruptness,[ə'brʌptnəs],"n.唐突,粗鲁"
absence,[ˈæbsəns],"n.不在, 缺席, 缺乏, 没有"
absent,[ˈæbsənt],"a.缺席的,缺乏的"
absenteeism,[ˌæbsənˈtiːɪzəm],"n.（无故）旷课, 旷工"
absolute,[ˈæbsəluːt],"a.完全的, 绝对的"
absolutely,[ˈæbsəluːtli],"ad.完全地, 绝对地"
absorb,"[əbˈzɔːrb,əbˈsɔːrb]","vt.吸收,吸引,使…全神贯注"
absorption,"[əbˈzɔːrpʃn,əbˈsɔːrpʃn]",n.吸收
abstract,[ˈæbstrækt],"n.摘要,抽象"
abstraction,[æbˈstrækʃn],"n.提取,精练"
absurd,[əbˈsɜːrd],"a.荒谬的, 可笑的"
abundance,[əˈbʌndəns],"n.丰富,充裕"
abundant,[əˈbʌndənt],"a.丰富的,充裕的"
abundantly,[əˈbʌndəntli],"ad.大量地, 丰富地"
abuse,[əˈbjuːs],"n./v.滥用, 虐待,辱骂"
abut,[əˈbʌt],"v.邻接, 毗邻"
academic,[ˌækəˈdemɪk],"a.学院的, 理论的"
academically,[ˌækəˈdemɪkli],ad.学业上
academician,[ˌækədəˈmɪʃn],"n.院士, 大学生"
academy,[əˈkædəmi],"n.学院,学会,专科学校,研究院"
accelerate,[əkˈseləreɪt],"v.加速,促进"
acceleration,[əkˌseləˈreɪʃn],"n.加速度,加速,促进"
accept,[əkˈsept],"v.接受,承认,同意"
acceptable,[əkˈseptəbl],"a.可接受的, 合意的"
acceptance,[əkˈseptəns],"n.接受,接纳"
access,[ˈækses],"n.入口,通道.vt.进入"
accessibility,[əkˌsesəˈbɪləti],"n.易接近, 可到达的"
accessible,[əkˈsesəbl],"a.可得到的,易接近的,可理解的"
accessory,[əkˈsesəri],"n.附件.a.辅助的,配件"
accident,[ˈæksɪdənt],"n.意外事件, 事故"
accidental,[ˌæksɪˈdentl],"a.意外的,偶然(发生)的"
accidentally,[ˌæksɪˈdentəli],"a.意外的,偶然(发生)的"
acclaim,[əˈkleɪm],"n./v.喝采, 欢呼,称赞"
accommodate,[əˈkɑːmədeɪt],"vt.容纳,提供(住处),适应"
accompaniment,[əˈkʌmpənimənt],"n.陪伴物, 伴奏"
accompany,[əˈkʌmpəni],"vt.陪伴,伴奏"
accomplish,[əˈkɑːmplɪʃ],"vt.完成,实现"
accomplishment,[əˈkɑːmplɪʃmənt],"n.成就, 完成"
accord,[əˈkɔːrd],"n./v.一致, 协定 "
according,[ə'kɔrdɪŋ],ad.依照(to)
accordingly,[əˈkɔːrdɪŋli],"ad.因此, 相应地, 于是"
accordion,[əˈkɔːrdiən],n.手风琴
account,[əˈkaʊnt],"n.记述,帐(户),解释.vi.说明,占"
accountant,[əˈkaʊntənt],"n.会计(员), 会计师"
accrete,[ə'krit],"v.共生, 附着, 增加"
accumulate,[əˈkjuːmjəleɪt],"v.积聚,堆积"
accumulation,[əˌkjuːmjəˈleɪʃn],"n.积聚,堆积物"
accumulator,[əˈkjuːmjəleɪtər],"n.蓄电池,积聚者"
accuracy,[ˈækjərəsi],"n.精确性, 正确度"
accurate,[ˈækjərət],"a.准确的,精确的"
accusation,[ˌækjuˈzeɪʃn],"n.谴责, [律]指控"
accuse,[əˈkjuːz],"vt.控告, 谴责"
accustom,[əˈkʌstəm],vt.使习惯于
acetate,[ˈæsɪteɪt],n.[化]醋酸盐
achievable,[əˈtʃiːvəbl],"a.做得成的, 可完成的"
achieve,[əˈtʃiːv],"vt.完成,达到"
achievement,[əˈtʃiːvmənt],"n.成就,功绩"
achingly,['eɪkɪŋli],"ad.极其,非常痛地"
achondrite,"[e'kɑn,draɪt]",n.不含球粒陨石
acid,[ˈæsɪd],n.酸.a.酸的
acidic,[əˈsɪdɪk],"a.酸的,酸性的"
acidity,[əˈsɪdəti],"n.酸度, 酸性, [医]酸过多, 胃酸过多"
acknowledge,[əkˈnɑːlɪdʒ],"vt.承认, 答谢,公认"
acorn,[ˈeɪkɔːrn],"n.橡树果,橡子"
acoustic,[əˈkuːstɪk],"a.有关声音的, 声学的"
acoustical,[ə'kʊstɪkl],"a.听觉的, 声学的,音响的"
acquaint,[əˈkweɪnt],"vt.使熟知, 通知"
acquaintance,[əˈkweɪntəns],"n.相识, 熟人,了解,知道"
acquire,[əˈkwaɪər],"vt.获得,学到"
acquisition,[ˌækwɪˈzɪʃn],n.获得(物)
acre,[ˈeɪkər],"n.英亩, 地产"
acreage,[ˈeɪkərɪdʒ],"n.英亩数, 面积"
acronym,[ˈækrənɪm],n.只取首字母的缩写词
across,[əˈkrɔːs],"prep.穿过,在对面"
act,[ækt],"v.行动,表演,起作用.n.行为,法令"
action,[ˈækʃn],"n.行动,行为,作用,情节"
activate,[ˈæktɪveɪt],"v.激活, 使活动"
active,[ˈæktɪv],"a.积极的,活跃的,起作用的 "
actively,[ˈæktɪvli],"ad.活跃地, 积极地"
activist,[ˈæktɪvɪst],"n.激进主义分子, 行动主义分子"
activity,[ækˈtɪvəti],"n.活动,活跃"
actor,[ˈæktər],"n.男演员,行动者"
actress,[ˈæktrəs],n.女演员
